Car ID,Brand,Model,Year,Transmission,Mileage,Fuel Type,Tax,MPG,Engine Size,Price
12000,Mercedes, GLS Class,2017,Automatic,12046,Diesel,150,37.2,3,38000
12001,Volkswagen, Amarok,2017,Automatic,37683,Diesel,260,36.2,3,23495
12002,Hyundai, Santa Fe,2017,Semi-Auto,32467,Diesel,235,42.8,2.2,18991
12003,Volkswagen, Arteon,2019,Automatic,1555,Petrol,145,40.4,1.5,22500
12004,Mercedes, GLS Class,2019,Automatic,10000,Diesel,145,34,3,59999
12005,Toyota, Verso,2003,Automatic,104000,Petrol,300,34.5,1.8,2395
12006,Ford, Grand C-MAX,2018,Manual,5113,Petrol,145,47.9,1,14000
12007,BMW, X6,2019,Automatic,9010,Diesel,145,34.9,3,58700
12008,Toyota, Prius,2016,Automatic,32853,Hybrid,10,64.2,1.8,22995
12009,Toyota, Supra,2019,Semi-Auto,1000,Petrol,145,34.5,3,49991
12010,Toyota, PROACE VERSO,2019,Automatic,5,Diesel,145,38.7,2,27998
12011,Volkswagen, Caravelle,2015,Semi-Auto,55000,Diesel,300,37.2,2,25995
12012,Ford, Mustang,2020,Manual,50,Petrol,145,23.9,5,48000
12013,Skoda, Scala,2019,Manual,3257,Petrol,145,49.6,1,16713
12014,Mercedes, GLS Class,2020,Semi-Auto,3999,Diesel,145,30.4,3,67480
12015,Ford, Grand C-MAX,2019,Manual,7570,Petrol,145,47.9,1,14450
12016,BMW, 6 Series,2016,Semi-Auto,25596,Diesel,200,49.6,3,22910
12017,Audi, RS6,2015,Semi-Auto,20982,Petrol,325,29.4,4,46000
12018,Toyota, Avensis,2016,Automatic,20251,Petrol,145,46.3,1.8,12498
12019,Vauxhall, Combo Life,2020,Semi-Auto,1950,Petrol,145,40.4,1.2,24995
12020,Mercedes, GL Class,2016,Manual,26809,Diesel,20,67.3,2.1,15699
12021,Mercedes, S Class,2018,Semi-Auto,12955,Diesel,145,52.3,3,41632
12022,Vauxhall, GTC,2016,Manual,17887,Petrol,160,47.1,1.4,10590
12023,Skoda, Rapid,2017,Manual,8706,Petrol,150,61.4,1,10990
